Time (s),Height (cm),Control Action (1000-2000)
2.01,29.0,1661
2.05,29.0,1662
2.07,29.0,1663
2.10,29.0,1664
2.12,29.0,1665
2.15,29.0,1666
2.19,29.0,1668
2.22,29.0,1669
2.25,29.0,1670
2.28,29.0,1672
2.31,29.0,1673
2.33,29.0,1673
2.35,29.0,1674
2.39,29.0,1676
2.42,29.0,1677
2.45,29.0,1678
2.47,29.0,1679
2.50,29.0,1681
2.53,29.0,1682
2.55,29.0,1682
2.57,29.0,1683
2.60,29.0,1685
2.63,29.0,1686
2.65,29.0,1687
2.68,29.0,1688
2.70,29.0,1689
2.73,29.0,1690
2.76,29.0,1691
2.79,29.0,1692
2.82,29.0,1693
2.84,29.0,1694
2.87,29.0,1695
2.89,29.0,1697
2.92,29.0,1698
2.95,29.0,1699
2.99,29.0,1700
3.02,29.0,1702
3.04,29.0,1703
3.09,29.0,1704
3.11,29.0,1706
3.14,29.0,1707
3.17,29.0,1708
3.19,29.0,1709
3.22,29.0,1710
3.26,29.0,1712
3.29,29.0,1713
3.32,29.0,1714
3.34,29.0,1715
3.37,29.0,1716
3.39,29.0,1717
3.42,29.0,1718
3.44,29.0,1719
3.49,29.0,1721
3.54,29.0,1723
3.57,29.0,1724
3.59,29.0,1725
3.62,29.0,1726
3.65,29.0,1727
3.67,29.0,1728
3.70,29.0,1730
3.73,29.0,1731
3.75,32.0,1729
3.78,32.0,1730
3.82,32.0,1635
3.84,32.0,1636
3.86,43.0,1625
3.89,43.0,1289
3.91,43.0,1290
3.93,43.0,1290
3.95,43.0,1724
3.98,43.0,1725
4.00,49.0,1719
4.02,49.0,1495
4.05,49.0,1496
4.07,49.0,1496
4.09,49.0,1721
4.11,49.0,1721
4.14,55.0,1716
4.16,55.0,1490
4.18,55.0,1491
4.20,56.0,1490
4.23,56.0,1676
4.25,56.0,1676
4.27,55.0,1678
4.30,55.0,1757
4.32,55.0,1757
4.35,53.0,1760
4.37,49.0,1946
4.39,49.0,1947
4.42,49.0,1947
4.44,49.0,1727
4.47,49.0,1727
4.49,49.0,1728
4.52,49.0,1729
4.54,48.0,1730
4.57,48.0,1731
4.59,48.0,1770
4.61,48.0,1770
4.63,48.0,1771
4.66,48.0,1733
4.68,48.0,1733
4.70,41.0,1741
4.72,41.0,2000
4.74,41.0,2000
4.77,40.0,2000
4.79,40.0,1788
4.81,39.0,1790
4.83,40.0,1789
4.86,40.0,1746
4.88,40.0,1747
4.90,40.0,1748
4.93,38.0,1825
4.95,38.0,1826
4.98,38.0,1827
5.00,38.0,1753
5.04,38.0,1754
5.06,38.0,1755
5.11,38.0,1756
5.14,36.0,1759
5.16,36.0,1760
5.19,36.0,1829
5.21,36.0,1830
5.23,36.0,1830
5.26,37.0,1724
5.28,37.0,1725
5.30,37.0,1725
5.32,37.0,1764
5.34,41.0,1761
5.36,41.0,1762
5.39,41.0,1591
